model,split,MAE,RMSE,R2,n
baseline_zero_return,train,0.040397,0.084236,-0.000184,79618
baseline_zero_return,val,0.042094,0.084537,-0.000162,12493
baseline_zero_return,test,0.041685,0.074387,-0.00055,12227
baseline_lag1_return,train,0.060497,0.119906,-1.026581,79618
baseline_lag1_return,val,0.063568,0.119674,-1.004355,12493
baseline_lag1_return,test,0.063107,0.107393,-1.085455,12227
baseline_ma7_return,train,0.041952,0.085645,-0.033928,79618
baseline_ma7_return,val,0.043862,0.086208,-0.040091,12493
baseline_ma7_return,test,0.043401,0.076072,-0.046401,12227
ridge_price_deviation,train,0.04037,0.084216,0.000286,79618
ridge_price_deviation,val,0.042061,0.08452,0.000245,12493
ridge_price_deviation,test,0.041642,0.074346,0.000542,12227
random_forest_price_deviation,train,0.032524,0.07345,0.239554,79618
random_forest_price_deviation,val,0.042524,0.084821,-0.006888,12493
random_forest_price_deviation,test,0.042253,0.074842,-0.012819,12227
